Tissue,Density [g/cm3],H,C,N,O,Na,Mg,P,S,Cl,K,Ca,Fe,I,Ba
Lung-blood filled and inflated,0.26,10.3,10.5,3.1,74.9,0.2,0,0.2,0.3,0.3,0.2,0,0,0,0
Adipose tissue - 3,0.93,11.6,68.1,0.2,19.8,0.1,0,0,0.1,0.1,0,0,0,0,0
Adipose tissue - 2,0.95,11.4,59.8,0.7,27.8,0.1,0,0,0.1,0.1,0,0,0,0,0
Adipose tissue - 1,0.97,11.2,51.7,1.3,35.5,0.1,0,0,0.1,0.1,0,0,0,0,0
Mammary gland - 1,0.99,10.9,50.6,2.3,35.8,0.1,0,0.1,0.1,0.1,0,0,0,0,0
Brain - cerebrospinal fluid,1.01,11.1,0,0,88,0.5,0,0,0,0.4,0,0,0,0,0
Mammary gland - 2,1.02,10.6,33.2,3,52.7,0.1,0,0.1,0.2,0.1,0,0,0,0,0
Urinary bladder - urine,1.02,11,0.5,1,86.2,0.4,0,0.1,0,0.6,0.2,0,0,0,0
Adrenal gland,1.03,10.6,28.4,2.6,57.8,0,0,0.1,0.2,0.2,0.1,0,0,0,0
GI tract - wall,1.03,10.6,11.5,2.2,75.1,0.1,0,0.1,0.1,0.2,0.1,0,0,0,0
Gallbladder - bile,1.03,10.8,6.1,0.1,82.2,0.4,0,0,0,0.4,0,0,0,0,0
Pancreas,1.04,10.6,16.9,2.2,69.4,0.2,0,0.2,0.1,0.2,0.2,0,0,0,0
Brain - white matter,1.04,10.6,19.4,2.5,66.1,0.2,0,0.4,0.2,0.3,0.3,0,0,0,0
Prostate,1.04,10.5,8.9,2.5,77.4,0.2,0,0.1,0.2,0,0.2,0,0,0,0
Testis,1.04,10.6,9.9,2,76.6,0.2,0,0.1,0.2,0.2,0.2,0,0,0,0
Brain - grey matter,1.04,10.7,9.5,1.8,76.7,0.2,0,0.3,0.2,0.3,0.3,0,0,0,0
GI tract - stomach,1.05,10.4,13.9,2.9,72.1,0.1,0,0.1,0.2,0.1,0.2,0,0,0,0
Heart - 1,1.05,10.3,17.5,3.1,68.1,0.1,0,0.2,0.2,0.2,0.3,0,0,0,0
Kidney - 1,1.05,10.2,16,3.4,69.3,0.2,0,0.2,0.2,0.2,0.2,0.1,0,0,0
Muscle - skeletal 1,1.05,10.1,17.1,3.6,68.1,0.1,0,0.2,0.3,0.1,0.4,0,0,0,0
Heart - 2,1.05,10.4,13.9,2.9,71.8,0.1,0,0.2,0.2,0.2,0.3,0,0,0,0
Liver - 1,1.05,10.3,15.6,2.7,70.1,0.2,0,0.3,0.3,0.2,0.3,0,0,0,0
